"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
39,"0","3",0.318958066133717,"2",3,1,"5",2,"1",30,4.30115925281864,"8",2,"1",0,0.851085669793054,0,"0",15.5780912345531,3,2,1,7,3,2,16,11,0,9
29,"0","2",0.845930294532116,"1",21,3,"3",2,"1",100,3.62640993070779,"1",3,"2",0.44390078653829,1,2,"0",14.9060696984319,3,3,1,8,3,2,2,5,3,5
40,"0","2",0.15378216425117,"2",1,1,"5",2,"1",91.1568741343905,0.754041100686825,"2",3,"2",0.203748043553019,0.651532965813625,1,"0",21.787098943933,3,1,1,24,2,2,0,0,0,0
24,"0","2",0.785533877917805,"1",6,3,"1",4,"2",83.1203952594487,3.01750103495535,"2",4,"1",0.392339392507346,0.556705652248359,1,"0",11.0381509707287,3,3,1,4,0,2,7,8,0,6
44,"0","2",1,"1",5,5,"5",1,"1",100,2.2971478024515,"1",3,"1",0,0.0160174069752716,3,"0",19.2335382043634,3,4,1,0,2,3,0,5,1,2
43,"0","3",0.84660876627401,"2",1,1,"5",4,"2",90.6282626058368,4.3206828868803,"5",1,"3",0.251127758180535,0.334656243281565,6,"0",7.25976229922417,3,3,1,6,3,2,0,0,0,0
60,"0","2",0.987539186490136,"1",1,1,"1",3,"1",57.1100774153506,3.04215376140908,"3",1,"1",0.56241860397887,0.784536722141436,4,"0",18.5114978949955,3,1,1,21,1,1,5,1,2,4
50,"0","3",0.486168908671729,"2",1,2,"3",1,"2",46.2950034345962,2.43703878831241,"8",3,"2",0.128360446436028,0.124710303638915,0,"0",22.8253314576845,4,1,1,13,4,2,15,7,0,0
32,"0","2",0,"2",10,1,"2",3,"1",100,2.80112052477336,"4",1,"2",0.76944175778079,0.238370095635881,4,"0",14.7277691473265,3,4,1,2,4,2,21,11,15,11
38,"0","3",0.141902576197948,"3",10,2,"6",2,"2",97.3142108441627,4.73897884978209,"6",3,"1",0.249353793839463,0.786217346280157,7,"0",9.75394328287263,3,1,1,5,2,2,8,5,1,4
