Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18,2,0.884896126713833,2,6,2,1,2,2,79.0638746727023,3.67096695622934,4,1,1,0.0,0.245421584941066,0,0,22.7837960009114,4,4,1,6,0,1,0,2,0,0
35,3,0.528299633583058,1,10,2,3,2,1,44.462381645364,4.83823641694839,1,3,1,0.354165796688055,0.521718940362603,0,0,10.7537434714825,3,4,1,8,0,3,9,8,0,4
46,3,0.225415889690312,2,1,2,2,2,1,31.8216855199669,2.21343541755574,9,2,1,0.261410600966966,0.824330446815363,4,0,13.092579722152,3,3,2,8,6,1,7,5,4,4
26,2,0.300147564337888,1,1,2,3,3,2,82.7363207740769,2.99713469482815,9,4,3,0.156042789492239,0.0953940534594883,1,0,11.0152615045712,3,3,1,11,0,1,7,1,1,4
40,3,0.387151473602023,3,5,3,2,1,1,85.7357395806325,1.94312035578636,8,1,1,0.161743663345642,0.0,0,0,13.7655367802936,3,3,1,12,2,3,0,7,0,4
18,2,0.292969687020957,1,14,3,1,3,1,51.0496193264179,3.13436603524644,3,2,3,0.0,0.946398296355741,2,0,14.0517770562183,3,3,1,0,3,1,0,1,0,0
39,3,0.247270982549977,3,1,3,5,2,1,30.0,2.79237143648608,7,2,3,0.390047682966701,0.0,1,0,23.4496029983759,4,1,1,15,0,1,16,5,5,0
42,2,0.787214143098539,1,13,2,1,1,1,95.4470929054933,2.42684909943778,3,1,2,0.0,0.187015556131792,4,0,3.47247565458359,3,1,1,7,2,1,14,2,0,4
39,2,0.360353272174383,3,24,4,4,2,1,84.7859793942981,3.3814830915685,5,1,1,0.576933175065172,0.844341727191312,2,0,15.193892585657,3,3,1,6,2,1,20,3,1,0
41,2,0.318283622419431,2,30,3,2,1,1,98.2748549218772,2.81126043226691,3,4,1,0.290980421971081,0.725236083577489,1,0,6.64013154341647,3,4,1,6,1,2,11,8,4,6
27,1,0.673707321188431,1,16,2,5,4,1,70.1303647171047,2.91339726786792,8,2,1,0.51164053240056,0.0,5,0,16.2257498300301,3,4,2,6,1,1,8,8,1,9
44,3,0.0,2,10,3,4,2,1,61.8812825977229,3.43351682699186,2,4,1,0.0,0.383693356002619,0,0,13.308798149351,3,1,1,15,3,2,2,0,3,0
20,1,0.577365171755751,1,1,3,2,1,2,63.1887682855909,2.30938877125004,8,3,1,0.0,0.0,1,0,10.9347322984555,3,1,1,3,4,1,0,0,0,0
32,3,0.477765221569139,2,20,3,3,3,2,50.7958051233783,3.71673211590062,9,4,3,0.213189245431854,0.0121357517148391,1,0,19.058285037905,3,4,1,1,2,2,6,2,5,1
30,3,0.275420197043712,2,4,1,3,1,1,36.0995676794035,1.92814957752323,6,4,1,0.274737404991838,0.316514367598619,4,0,15.4375055694529,3,1,1,2,2,2,1,1,0,8
40,1,0.108375677644769,1,16,1,3,3,1,100.0,2.82942953155278,7,2,1,0.673287394667207,0.328312344263964,5,0,12.9250698257048,3,2,3,15,2,3,9,0,0,2
32,1,0.420267107662114,3,17,4,5,3,1,48.5248053925291,4.00327292025545,9,1,2,0.512551434407615,0.046466061825807,0,0,8.93587059743023,3,2,1,1,2,2,3,5,10,10
60,2,0.987539186490136,1,1,1,1,3,1,57.1100774153506,3.04215376140908,3,1,1,0.56241860397887,0.784536722141436,4,0,18.5114978949955,3,1,1,21,1,1,5,1,2,4
31,2,0.397234116968643,3,11,3,2,1,1,56.690794804316,3.73321798999671,7,1,3,0.60864556197485,0.601344112666162,0,0,17.4563649716418,3,1,1,7,4,3,0,0,0,2
34,2,0.631252327121418,2,1,2,3,2,1,61.2714432624009,4.06239428666384,3,3,2,0.0894032560941022,0.272017374963247,1,0,25.2964724360263,3,2,1,19,2,3,12,11,0,6
32,3,0.583080060423501,2,6,3,3,4,1,38.3009778493344,2.58678373810886,7,4,3,0.141481564463505,0.266929456859619,2,0,17.1257055277748,3,1,1,19,0,2,4,9,6,7
60,2,0.60886256413886,2,8,3,3,2,1,100.0,3.44946119445524,5,1,1,0.0,0.361824377958698,4,1,20.8668249436963,3,1,3,15,1,1,4,1,0,0
43,3,1.0,1,5,2,3,2,1,69.8285383801696,0.144217082745642,3,1,1,0.0159625917405128,0.501361456095993,5,0,11.5691420209477,3,1,1,8,2,1,12,0,0,3
